scientific_name;new name;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;taxon_no_data
Setophaga americana;Setophaga americana;Parulidae;Passeriformes;AVIBASE-41062654;19;5;14;0;7;11.6;7.6;3.1;3.1;16.9;57.6;15.5;39.9;28.1;44.1;7.8;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Insessorial;26.1;52.89;39.96;-84.17;3355702.9;trait available
Setophaga coronata;Setophaga coronata;Parulidae;Passeriformes;AVIBASE-524C7116;12;6;6;0;3;12.6;7.2;3.4;3.4;18.1;71.6;17.6;54.1;24.5;56.3;11.9;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;40.75;69.23;56.68;-107.87;7207362.84;trait available
Setophaga discolor;Setophaga discolor;Parulidae;Passeriformes;AVIBASE-E36325FA;16;6;8;2;7;11.8;7.2;2.8;2.9;17.7;55.5;11.1;44.4;20;48.4;7.6;Dunning;NA;NO;NA;NA;Shrubland;2;3;Carnivore;Invertivore;Insessorial;24.53;45.96;35.89;-83.73;1565603.51;trait available
Setophaga dominica;Setophaga dominica;Parulidae;Passeriformes;AVIBASE-136451CF;13;5;8;0;4;14.9;9.8;3;3.4;16.8;67.7;18.8;49;27.7;50.7;9.7;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Insessorial;27.44;42.74;35.34;-87.05;1925341.63;trait available
Setophaga petechia;Setophaga petechia;Parulidae;Passeriformes;AVIBASE-A6C0C4A9;92;45;24;23;8;11.7;8;3.4;3.2;20;60.2;14.1;45.7;23.6;43.3;10.2;Dunning;NA;NO;NA;NA;Shrubland;1;3;Carnivore;Invertivore;Insessorial;-3.94;70.64;50.59;-108.69;15552185.22;trait available
Setophaga pinus;Setophaga pinus;Parulidae;Passeriformes;AVIBASE-6283E61E;14;7;7;0;6;13.4;8;3.1;3.8;18.6;71.8;20.6;51.2;28.6;54;11.8;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Insessorial;17.61;52.12;38.54;-83.72;2073441.98;trait available
Setophaga pitiayumi;Setophaga pitiayumi;Parulidae;Passeriformes;AVIBASE-59F79322;42;11;30;1;4;12;7.5;3;3.2;16.1;52.7;10.8;42.7;20.1;41.1;6.8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-35.58;27.75;-12.53;-57.9;8364955.27;trait available
Setophaga ruticilla;Setophaga ruticilla;Parulidae;Passeriformes;AVIBASE-BED38F50;35;18;16;1;6;12.3;6.8;4;3;17;62;15.6;48;24.6;52.6;8.2;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;30.05;65.02;47.72;-98.09;6675504.95;trait available
Setophaga virens;Setophaga virens;Parulidae;Passeriformes;AVIBASE-9FFEDE99;15;6;9;0;10;12.5;7.1;3.1;3.3;17.5;62.1;16.5;45.6;26.5;48.4;8.7;Dunning;NA;NO;NA;NA;Forest;1;3;Omnivore;Invertivore;Insessorial;33.64;58.7;49.03;-84.73;3340613.66;trait available
Sicalis flaveola;Sicalis flaveola;Thraupidae;Passeriformes;AVIBASE-A5AA0BEC;23;4;13;6;4;11.2;8.3;5.4;7;19.5;69.5;14.5;55.8;20.6;53.4;16.9;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Terrestrial;-39.12;12.46;-17.3;-55.3;8090601.18;trait available
Sinosuthora webbiana;Sinosuthora webbiana;Sylviidae;Passeriformes;AVIBASE-32709919;5;2;2;1;4;9.2;5.4;3.6;5.8;19.5;50.4;7;43.3;13.9;59.4;10.9;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Omnivore;Insessorial;21.78;46.71;33.65;114.57;4347110.32;trait available
Spatula versicolor;Spatula versicolor;Anatidae;Anseriformes;AVIBASE-C8F1E992;5;2;3;0;4;41.2;31.4;15.4;14.3;28.3;185;91.8;92.2;49.9;68.6;595.2;Dunning;NA;NO;NA;NA;Wetland;3;2;Herbivore;Herbivore aquatic;Aquatic;-55.98;-20.73;-36.9;-64.26;3071768.07;trait available
Spermestes bicolor;Spermestes bicolor;Estrildidae;Passeriformes;AVIBASE-E358EC8A;18;8;10;0;8;10.5;8.1;5.7;6.9;12.5;48.4;10.6;37.8;21.8;33.5;9.9;Dunning;NA;NO;NA;NA;Woodland;2;1;Herbivore;Granivore;Insessorial;-33.78;13.14;-3.39;20.99;5169258.15;trait available
Spermestes cucullata;Spermestes cucullata;Estrildidae;Passeriformes;AVIBASE-142E4CB7;21;8;8;5;8;9.6;6.9;5.2;6.3;12.7;48.4;10.4;38.1;21.4;31.3;9;Dunning;NA;NO;NA;NA;Woodland;2;1;Herbivore;Granivore;Terrestrial;-34.05;15.69;-3.72;21.48;8668523.94;trait available
Spilopelia chinensis;Spilopelia chinensis;Columbidae;Columbiformes;AVIBASE-BAD2AC99;6;3;3;0;6;19.9;10.8;3.5;3.5;19.9;138.8;42;96.7;30.3;127.3;159;Dunning;NA;NO;NA;NA;Woodland;3;1;Herbivore;Granivore;Terrestrial;-10.94;40.87;19.96;107.84;7371539.16;trait available
Spilopelia senegalensis;Spilopelia senegalensis;Columbidae;Columbiformes;AVIBASE-B2D6AB06;9;4;5;0;4;17.8;8.2;2.7;3;18.9;132.2;45.1;86.9;34.2;108.5;82.1;Dunning;NA;NO;NA;NA;Woodland;3;1;Herbivore;Granivore;Terrestrial;-34.84;52.67;13.86;37.37;28873137.27;trait available
Spinus magellanicus;Spinus magellanicus;Fringillidae;Passeriformes;AVIBASE-77CB59D7;11;4;6;1;5;12;8.8;4.6;6.5;13.9;69.5;18.5;49.9;27.2;44.4;13.6;Dunning;NA;NO;NA;NA;Shrubland;3;1;Herbivore;Granivore;Insessorial;-41.17;6.98;-21.61;-56.84;6077584.71;trait available
Spinus spinus;Spinus spinus;Fringillidae;Passeriformes;AVIBASE-9820CECA;22;10;12;0;4;12.8;8.3;4.5;6.1;12.7;71.6;26.1;45.5;36.5;46.4;13.2;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Granivore;Insessorial;35.37;70.16;55.86;65.08;8968022.11;trait available
Spinus tristis;Spinus tristis;Fringillidae;Passeriformes;AVIBASE-C9ABA616;9;4;5;0;8;11.5;8.2;4.3;6.3;13.5;69.8;19.1;50.3;27.6;48.3;12.8;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Granivore;Insessorial;31.4;57.36;44.46;-96.32;7802444.22;trait available
Sternula superciliaris;Sternula superciliaris;Laridae;Charadriiformes;AVIBASE-8B4BBC2A;5;3;2;0;4;38;22.9;4.3;6.6;16;169;109.2;59.8;64.7;61.7;46.4;Dunning;NA;NO;NA;NA;Riverine;3;1;Carnivore;Aquatic predator;Aerial;-35.39;11.17;-9.36;-58.14;11385573.19;trait available
Sylvia abyssinica;Sylvia abyssinica;Sylviidae;Passeriformes;AVIBASE-7C3026CC;12;4;5;3;7;15.5;7.2;3.4;3.7;22;66.5;7.2;59.4;10.8;59.8;18.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-14.99;13.52;-0.78;34.62;387143.47;trait available
Symposiachrus guttula;Symposiachrus guttula;Monarchidae;Passeriformes;AVIBASE-691BA700;10;3;7;0;6;16.5;9.6;5.1;4.6;17.6;79;14;65;17.7;71.5;16.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-11.66;0.04;-5.35;140.97;657660.08;trait available
