taxon;scientific_name;revised_name;category;body_mass;diet;foraging_strata;activity_period;taxon_no_data
Mammalia;Erinaceus_europaeus;Erinaceus_europaeus;up_to_date;771;carnivore;G;nocturnal;trait available
Mammalia;Euryoryzomys_russatus;Oryzomys_russatus;updated;60.5;herbivore;G;cathemeral;trait available
Mammalia;Euryoryzomys_sp.;Euryoryzomys_sp.;morphospecies;61.28333333;herbivore;G;cathemeral;trait available
Mammalia;Funambulus_sublineatus;Funambulus_sublineatus;up_to_date;70.9;herbivore;S;diurnal;trait available
Mammalia;Funambulus_tristriatus;Funambulus_tristriatus;up_to_date;139;herbivore;S;diurnal;trait available
Mammalia;Furipterus_horrens;Furipterus_horrens;up_to_date;3.2;carnivore;A;nocturnal;trait available
Mammalia;Glischropus_tylopus;Glischropus_tylopus;up_to_date;4.4;carnivore;A;nocturnal;trait available
Mammalia;Glossophaga_soricina;Glossophaga_soricina;up_to_date;9.4;omnivorous;Ar;nocturnal;trait available
Mammalia;Glyphonycteris_sylvestris;Glyphonycteris_sylvestris;up_to_date;8.8;carnivore;S;nocturnal;trait available
Mammalia;Gracilinanus_agilis;Gracilinanus_agilis;up_to_date;22;omnivorous;S;cathemeral;trait available
Mammalia;Gracilinanus_microtarsus;Gracilinanus_microtarsus;up_to_date;31;omnivorous;S;cathemeral;trait available
Mammalia;Guerlinguetus_ingrami;Sciurus_aestuans;updated;185;herbivore;Ar;diurnal;trait available
Mammalia;Herpestes_vitticollis;Herpestes_vitticollis;up_to_date;2575.6;omnivorous;G;cathemeral;trait available
Mammalia;Hipposideros_bicolor_131;Hipposideros_bicolor;updated;7.6;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_bicolor_142;Hipposideros_bicolor;updated;7.6;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_cervinus;Hipposideros_cervinus;up_to_date;9.3;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_cineraceus;Hipposideros_cineraceus;up_to_date;4.7;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_diadema;Hipposideros_diadema;up_to_date;43.8;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_doriae;Hipposideros_doriae;up_to_date;5;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_larvatus;Hipposideros_larvatus;up_to_date;19.9;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_lylei;Hipposideros_lylei;up_to_date;40;carnivore;A;nocturnal;trait available
Mammalia;Hipposideros_ridleyi;Hipposideros_ridleyi;up_to_date;8.8;carnivore;A;nocturnal;trait available
Mammalia;Hylaeamys_megacephalus;Oryzomys_megacephalus;updated;57.8;herbivore;G;cathemeral;trait available
Mammalia;Hylonycteris_underwoodi;Hylonycteris_underwoodi;up_to_date;6.7;herbivore;Ar;nocturnal;trait available
Mammalia;Juliomys_pictipes;Juliomys_pictipes;up_to_date;22.9;herbivore;G;nocturnal;trait available
Mammalia;Kerivoula_hardwickii;Kerivoula_hardwickii;up_to_date;4.6;carnivore;A;nocturnal;trait available
Mammalia;Kerivoula_intermedia;Kerivoula_intermedia;up_to_date;3.6;carnivore;A;nocturnal;trait available
Mammalia;Kerivoula_papillosa;Kerivoula_papillosa;up_to_date;9.8;carnivore;A;nocturnal;trait available
Mammalia;Kerivoula_pellucida;Kerivoula_pellucida;up_to_date;4.1;carnivore;A;nocturnal;trait available
Mammalia;Lampronycteris_brachyotis;Lampronycteris_brachyotis;up_to_date;11;carnivore;S;nocturnal;trait available
Mammalia;Lasiurus_ega;Lasiurus_ega;up_to_date;13.2;carnivore;A;nocturnal;trait available
Mammalia;Leopardus_tigrinus;Leopardus_tigrinus;up_to_date;2250;carnivore;S;cathemeral;trait available
Mammalia;Leptonycteris_nivalis;Leptonycteris_nivalis;up_to_date;25.6;herbivore;Ar;nocturnal;trait available
Mammalia;Lonchophylla_thomasi;Lonchophylla_thomasi;up_to_date;6.9;omnivorous;Ar;nocturnal;trait available
Mammalia;Lophostoma_silvicolum;Lophostoma_silvicolum;up_to_date;29.7;carnivore;S;nocturnal;trait available
Mammalia;Macaca_radiata;Macaca_radiata;up_to_date;3690;herbivore;S;diurnal;trait available
Mammalia;Macaca_silenus;Macaca_silenus;up_to_date;4750;herbivore;S;diurnal;trait available
Mammalia;Marmosa_cinerea;Micoureus_demerarae;updated;75.8;carnivore;S;nocturnal;trait available
Mammalia;Marmosa_incana;Marmosops_incanus;updated;62.3;omnivorous;Ar;nocturnal;trait available
Mammalia;Marmosa_murina;Marmosa_murina;up_to_date;26;omnivorous;Ar;nocturnal;trait available
Mammalia;Marmosops_incanus;Marmosops_incanus;up_to_date;62.3;omnivorous;Ar;nocturnal;trait available
Mammalia;Marmosops_parvidens;Marmosops_parvidens;up_to_date;15;omnivorous;Ar;nocturnal;trait available
Mammalia;Maxomys_surifer;Maxomys_surifer;up_to_date;150.4;herbivore;G;nocturnal;trait available
Mammalia;Maxomys_whiteheadi;Maxomys_whiteheadi;up_to_date;56;herbivore;G;nocturnal;trait available
