taxon;scientific_name;revised_name;category;body_mass;diet;foraging_strata;activity_period;taxon_no_data
Mammalia;Tonatia_schulzi;Lophostoma_schulzi;updated;18.2;carnivore;S;nocturnal;trait available
Mammalia;Tonatia_silvicola;Lophostoma_silvicolum;updated;29.7;carnivore;S;nocturnal;trait available
Mammalia;Trachops_cirrhosus;Trachops_cirrhosus;up_to_date;37.7;omnivorous;G;nocturnal;trait available
Mammalia;Tragulus_meminna;Moschiola_meminna;updated;2445;herbivore;G;nocturnal;trait available
Mammalia;Trinomys_dimidiatus;Trinomys_dimidiatus;up_to_date;167.6;herbivore;G;nocturnal;trait available
Mammalia;Trinycteris_nicefori;Trinycteris_nicefori;up_to_date;8.2;carnivore;S;nocturnal;trait available
Mammalia;Tupaia_glis;Tupaia_glis;up_to_date;169.8;carnivore;G;diurnal;trait available
Mammalia;Tylopus_pachypus;Tylonycteris_pachypus;updated;3.6;carnivore;A;nocturnal;trait available
Mammalia;Uroderma_bilobatum;Uroderma_bilobatum;up_to_date;16.7;herbivore;Ar;nocturnal;trait available
Mammalia;Vampyressa_brocki;Vampyressa_brocki;up_to_date;10;herbivore;Ar;nocturnal;trait available
Mammalia;Vampyressa_nymphaea;Vampyressa_nymphaea;up_to_date;11.8;herbivore;Ar;nocturnal;trait available
Mammalia;Vampyressa_pusilla;Vampyressa_pusilla;up_to_date;8.6;herbivore;Ar;nocturnal;trait available
Mammalia;Vampyrodes_caraccioli;Vampyrodes_caraccioli;up_to_date;34.7;herbivore;Ar;nocturnal;trait available
Mammalia;Vampyrum_spectrum;Vampyrum_spectrum;up_to_date;167.7;carnivore;G;nocturnal;trait available
Mammalia;Vulpes_vulpes;Vulpes_vulpes;up_to_date;5318.2;carnivore;G;cathemeral;trait available
Mammalia;Zygodontomys_brevicauda;Zygodontomys_brevicauda;up_to_date;52.2;herbivore;G;nocturnal;trait available
