taxon,scientific_name,Family,Subfamily,body_size_female (mm),N_body_size_female,body_size_male (mm),N_body_size_male,forewing_length_females (mm),N_forewing_length_females,forewing_length_males (mm),N_forewing_length_males,trophic level / diet,reproductive mode,foraging strata / habitat,References,OBS
Hymenoptera,Diadegma sp. 02,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"37. Azidah, A.A.; Fitton, M.G. & Quicke, D.L.J. (2000) Identification of the Diadegma species (Hymenoptera: Ichneumonidae, Campopleginae) attacking the diamondback moth, Plutella xylostella (Lepidoptera: Plutellidae). Bulletin of Entomological Research, 90: 375-389.",
Hymenoptera,Diadegma sp. 03,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"38. Walley, G.S. (1967) Nearctic species of the Diadegma stenosomus complex (Hymenoptera: Ichneumonidae). Canadian Entomologist, 99: 925-943.",
Hymenoptera,Diadegma sp. 04,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"39. Early, J.W. & Dugdale, J.S. (1994) Fustiserphus (Hymenoptera: Proctotrupidae) parasitises Lepidoptera in leaf litter in New Zealand. New Zealand Journal of Zoology, 21(3): 249-252. http://dx.doi.org/10.1080/03014223.1994.9517992",
Hymenoptera,Diadegma sp. 05,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"40. Townes, H. & Townes, M. (1981) A Revision of the Serphidae (Hymenoptera). Memoirs of the American Entomological Institute, 32: 1-548.",
Hymenoptera,Diadegma sp. 07,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],41. The Proctotrupidae (Hymenoptera) of the World. Available from: https://proctotrupidae.myspecies.info/taxonomy/term/81. Accessed 30 April 2022.,
Hymenoptera,Diadegma sp. 08,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"42. Kolyada, V.A. & Mostovski, M.B. (2007) Revision of Proctotrupidae (Insecta: Hymenoptera) described by Ch. T. Brues from Baltic amber. Zootaxa, 1661: 29-38.",
Hymenoptera,Diadegma sp. 09,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"43. Perkins, J.F. (1960) Handbooks for the identification of British insects. Vol. VII. Part 2. Hymenoptera. Ichneumonoidea. Ichneumonidae, subfamilies Ichneumoninae II, Alomyinae, Agriotypinae and Lycorininae. Royal Entomological Society of London, 117-213.",
Hymenoptera,Diadegma sp. 10,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"44. Morley, C. (1903) Ichneumonologia Britannica. The Ichneumons of Great Britain. Ichneumoninae. Plymouth. 315 pp.",
Hymenoptera,Diadegma sp. 11,Ichneumonidae,Campopleginae,6.75 [15]; 4.8-8.0 [37]; 10 [38],1 [15]; 534 [37]; 3 [38],2.69-7.26 [37],366 [37],5.14 [15]; 2.42-4.52 [37],1 [15]; 534 [37],3.9-4.4 [38],20 [38],parasitoid of various lepidopteran species [35],koinobiont solitary [36],cruciferous crops [35],"45. Desvignes, T. (1856) Catalogue of British Ichneumonidae in the collection of the British Museum. London. 120 pp.",
Hymenoptera,Dusona destructor,Ichneumonidae,Campopleginae,12.2 [73],1 [73],7.1 [73],6 [73],7.9 [73],1 [73],4.4 [73],6 [73],Parasitoid of Lepidoptera [86],holometabolous [86],"forest, fragment 3804 a 12190 m2 [86]","46. Cameron, P. (1903) A list of the Hymenoptera of New Zealand. Transactions and Proceedings of the New Zealand Institute, 35: 290-299.",
