AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Aristotelia chilensis;NA;1.725;NA;45.915;NA;trait available
Aristotelia serrata;NA;10.98025104;0.461333333;3.896923077;174.7522474;trait available
Artedia squamata;NA;NA;NA;8.475;NA;trait available
Artocarpus heterophyllus;NA;2.244285714;0.488539846;10062;NA;trait available
Aspidosperma;Anemochory;8.394936143;0.680727564;2.692106654;NA;trait available
Aspidosperma araracanga;NA;NA;0.75;NA;NA;trait available
Aspidosperma cylindrocarpon;NA;6.5;335.9083933;NA;NA;trait available
Aspidosperma discolor;NA;NA;0.758;NA;NA;trait available
Aspidosperma excelsum;Disp;4.301795614;0.749915613;NA;NA;trait available
Aspidosperma parvifolium;NA;15.27783442;330.2069021;0.2;296.354;trait available
Aspidosperma polyneuron;NA;NA;0.719347368;NA;NA;trait available
Aspidosperma spruceanum;Disp;2.534603675;0.754776862;595.3298219;283.8312454;trait available
Aspidosperma subincanum;NA;1.456666667;0.82;NA;NA;trait available
Asplenium polyodon;wind;NA;NA;NA;NA;trait available
Asplenium serratum;NA;1.5;NA;NA;118.3918631;trait available
Asteriscus aquaticus;"Anemochory: Big seeds with ""wings"", planing in the air (ex,  Acer sp.)";NA;NA;0.78;NA;trait available
Asteropeia;NA;NA;0.861316568;NA;NA;trait available
Asteropeia micraster;NA;NA;NA;7.04;NA;trait available
Astrocaryum aculeatissimum;NA;NA;NA;11430;NA;trait available
Astronium concinnum;Disp;NA;1.07;NA;NA;trait available
Astronium fraxinifolium;Disp;2.3;402.34;31.7;NA;trait available
Astronium graveolens;Animal;4.033924355;0.830803448;26.97981396;288.9342623;trait available
Atractylis cancellata;anemochory;NA;NA;4.814285714;NA;trait available
Avena barbata;one-seeded generative dispersule;14.34512111;NA;9.083684234;245.5;trait available
Avena sterilis;one-seeded generative dispersule;9.791911009;NA;23.70363636;108.9371142;trait available
Azara integrifolia;NA;NA;NA;2.09;NA;trait available
Azara lanceolata;NA;1.47;NA;NA;NA;trait available
Baccharis vaccinioides;NA;NA;NA;0.2;NA;trait available
Balfourodendron riedelianum;NA;NA;0.666457143;NA;NA;trait available
Banara guianensis;NA;NA;0.564318361;NA;NA;trait available
Bathysa australis;NA;NA;15.08737968;3.15E-06;204.494;trait available
Bathysa mendoncaei;NA;2.83875;0.423639478;NA;NA;trait available
Bauhinia;NA;3.246059481;NA;NA;445;trait available
Bauhinia forficata;NA;2.505;NA;206.45;NA;trait available
Bauhinia longifolia;NA;NA;0.67;NA;NA;trait available
Bauhinia rufa;NA;1.446956522;NA;NA;NA;trait available
Beilschmiedia curviramea;NA;NA;0.54243;NA;NA;trait available
Beilschmiedia tawa;NA;1.155;0.666;1211.716923;247.5309501;trait available
Bellevalia flexuosa;NA;NA;NA;3.58;NA;trait available
Bellucia grossularioides;Disp;9.181928571;0.560447917;0.18772052;0.308230541;trait available
Berberis darwinii;NA;NA;NA;11.74;NA;trait available
Berberis glaucocarpa;NA;NA;NA;11.41;NA;trait available
Berberis microphylla;NA;NA;0.847;9.125714286;NA;trait available
Bersama abyssinica;NA;NA;0.6240418;398.0833333;NA;trait available
Bertholletia excelsa;Disp;12.60800871;0.637606113;6500;NA;trait available
Beta vulgaris;nautochor;3.81;NA;19.35654867;167;trait available
Betula alleghaniensis;Diaspore is blown by wind;2.729828047;816.0462;14747.01754;9.44400411;trait available
Betula papyrifera;wind;8.321988359;0.51;136900.3361;NA;trait available
Betula populifolia;Diaspore is blown by wind;1.868333333;137.8625;212800.0817;0.598569399;trait available
Biscutella didyma;one-seeded generative dispersule;NA;NA;1.814095238;NA;trait available
Blepharocalyx salicifolius;Animal;1.335148167;0.602275;38;NA;trait available
Blighia unijugata;NA;NA;0.50808475;NA;NA;trait available
Bocageopsis multiflora;Diaspore is eaten intentionally;NA;0.643882496;186.9072022;NA;trait available
